"id","username","filename","algorithm","size_kb","latency_ms","packets_lost","real_latency_ms","data_type","clumsy_lag_ms","clumsy_drop_pct"
"1","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.04","19.55","0","164.2","Text_IoT","0.0","0.0"
"2","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.02","19.53","0","96.26","Text_IoT","0.0","0.0"
"3","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.03","19.54","0","94.8","Text_IoT","0.0","0.0"
"4","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.77","17.77","0","118.81","Text_IoT","0.0","0.0"
"5","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.77","17.77","0","109.16","Text_IoT","0.0","0.0"
"6","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.08","19.62","0","97.41","Text_IoT","0.0","0.0"
"7","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.07","19.61","0","123.08","Text_IoT","0.0","0.0"
"8","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.77","17.77","0","110.99","Text_IoT","0.0","0.0"
"9","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.07","19.61","0","121.94","Text_IoT","0.0","0.0"
"10","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.77","17.77","0","87.09","Text_IoT","0.0","0.0"
"11","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.77","17.77","0","122.19","Text_IoT","0.0","0.0"
"12","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.07","19.61","0","111.66","Text_IoT","0.0","0.0"
"13","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.08","19.62","0","117.07","Text_IoT","0.0","0.0"
"14","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.82","17.82","0","113.52","Text_IoT","0.0","0.0"
"15","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.77","17.77","0","87.78","Text_IoT","0.0","0.0"
"16","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.05","19.57","1","114.9","Text_IoT","0.0","0.0"
"17","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.02","19.54","0","109.98","Text_IoT","0.0","0.0"
"18","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.04","19.56","1","118.96","Text_IoT","0.0","0.0"
"19","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.8","17.8","0","112.86","Text_IoT","0.0","0.0"
"20","AutoBot_Text_IoT","Text_IoT_data.bin","Hybrid PQC","3.01","19.51","0","117.28","Text_IoT","0.0","0.0"
"21","AutoBot_Text_IoT","Text_IoT_data.bin","Standard AES","2.82","17.82","0","102.07","Text_IoT","0.0","0.0"
